신차가격,중고차가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,압류,저당,전손이력,용도이력,사용자변경,차체/일반,엔진/주요,제조사,최고출력,최대토크,구동방식,승차정원,휠_1,타이어_수정
1448,1030,20,7055,가솔린,1,15.0,경차,999,흰색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,990,19,20678,가솔린,1,15.0,경차,999,기타,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,970,19,11000,가솔린,1,15.0,경차,999,진주색,0,0,0,0,1,1,1,한국GM,75,10,FF,5,16,195
1448,999,20,28596,가솔린,1,15.0,경차,999,검정색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,990,19,18000,가솔린,1,15.0,경차,999,기타,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,980,19,27078,가솔린,1,15.0,경차,999,흰색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,979,19,26711,가솔린,1,15.0,경차,999,흰색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,899,19,15660,가솔린,1,15.0,경차,999,회색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1040,20,9702,가솔린,1,15.0,경차,999,흰색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,890,19,46600,가솔린,1,15.0,경차,999,검정색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1000,20,48025,가솔린,1,15.0,경차,999,회색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,849,19,46846,가솔린,1,15.0,경차,999,기타,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1230,20,18506,가솔린,1,15.0,경차,999,흰색,0,1,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1010,19,3169,가솔린,1,15.0,경차,999,검정색,0,0,0,0,1,1,1,한국GM,75,10,FF,5,16,195
1448,1150,20,8500,가솔린,1,15.0,경차,999,흰색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,940,19,28500,가솔린,1,15.0,경차,999,회색,0,1,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,980,20,14353,가솔린,1,15.0,경차,999,검정색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,950,19,22371,가솔린,1,15.0,경차,999,흰색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,920,19,26578,가솔린,1,15.0,경차,999,검정색,0,1,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1050,19,13134,가솔린,1,15.0,경차,999,흰색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1170,19,6000,가솔린,1,15.0,경차,999,기타,0,1,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,960,19,32335,가솔린,1,15.0,경차,998,회색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1100,20,4535,가솔린,1,15.0,경차,999,회색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,960,19,35148,가솔린,1,15.0,경차,999,기타,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,780,19,39746,가솔린,1,15.0,경차,999,기타,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1000,19,29750,가솔린,1,15.0,경차,980,검정색,0,1,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1040,19,22000,가솔린,1,15.0,경차,999,흰색,0,1,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1189,20,4435,가솔린,1,15.0,경차,999,흰색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1099,20,4074,가솔린,1,15.0,경차,999,검정색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1240,20,10273,가솔린,1,15.0,경차,999,흰색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1079,19,6222,가솔린,1,15.0,경차,999,흰색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1050,20,18798,가솔린,1,15.0,경차,999,진주색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1185,20,4182,가솔린,1,15.0,경차,999,흰색,0,1,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1099,20,8093,가솔린,1,15.0,경차,999,흰색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1030,19,14493,가솔린,1,15.0,경차,999,회색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,990,19,30000,가솔린,1,15.0,경차,999,회색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,950,20,25770,가솔린,1,15.0,경차,999,회색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1020,19,9537,가솔린,1,15.0,경차,999,기타,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1180,20,8920,가솔린,1,15.0,경차,999,검정색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1199,20,5171,가솔린,1,15.0,경차,999,진주색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,980,19,13882,가솔린,1,15.0,경차,999,진주색,0,1,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1050,19,27296,가솔린,1,15.0,경차,999,흰색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1129,20,10188,가솔린,1,15.0,경차,999,검정색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,940,19,46345,가솔린,1,15.0,경차,999,진주색,0,0,0,0,0,0,1,한국GM,75,10,FF,5,16,195
1448,895,19,39916,가솔린,1,15.0,경차,999,기타,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
1448,1010,19,11983,가솔린,1,15.0,경차,999,검정색,0,0,0,0,0,1,1,한국GM,75,10,FF,5,16,195
