고유번호,제조사,모델,세부모델,등급,연식,차량가격,복합연비,배기량,최고출력,최대토크,구동방식,승차정원,휠_1,타이어_수정,변속기,연료,차분류,URL
1,현대,그랜드스타렉스,3인승 밴 CVX,밸류,2007,1734,11,2497,174,41,FR,3,16,215,오토,경유,승합,현대_그랜드스타렉스3인승 밴 CVX.jpg
2,현대,그랜드스타렉스,3인승 밴 CVX,디럭스,2007,1939,11,2497,174,41,FR,3,16,215,오토,경유,승합,현대_그랜드스타렉스3인승 밴 CVX.jpg
3,현대,그랜드스타렉스,3인승 밴 CVX,럭셔리,2007,1920,11,2497,174,41,FR,3,16,215,오토,경유,승합,현대_그랜드스타렉스3인승 밴 CVX.jpg
4,현대,그랜드스타렉스,3인승 밴 CVX,프리미엄,2007,1963,11,2497,174,41,FR,3,16,215,오토,경유,승합,현대_그랜드스타렉스3인승 밴 CVX.jpg
5,현대,그랜드스타렉스,3인승 밴 CVX,기본형,2015,1890,11,2497,175,46,FR,3,16,215,오토,경유,승합,현대_그랜드스타렉스3인승 밴 CVX.jpg
6,현대,그랜드스타렉스,3인승 밴 CVX,스마트,2015,1940,11,2497,175,46,FR,3,16,215,오토,경유,승합,현대_그랜드스타렉스3인승 밴 CVX.jpg
7,현대,그랜드스타렉스,3인승 밴 CVX,스마트 스페셜,2015,2015,11,2497,175,46,FR,3,16,215,오토,디젤,승합,현대_그랜드스타렉스3인승 밴 CVX.jpg
8,현대,그랜드스타렉스,3인승 밴 CVX,모던,2017,2070,11,2497,175,46,FR,3,16,215,오토,디젤,승합,현대_그랜드스타렉스3인승 밴 CVX.jpg
9,현대,그랜드스타렉스,3인승 밴 CVX,냉동차,2007,2350,11,2497,175,46,FR,3,16,215,오토,디젤,승합,현대_그랜드스타렉스3인승 밴 CVX.jpg
10,현대,그랜드스타렉스,5인승 밴 CVX,밸류,2007,1778,11,2497,174,41,FR,5,16,215,오토,디젤,승합,현대_그랜드스타렉스5인승 밴 CVX.jpg
